experiment,target_domain,num_malicious,mode,warmup_queries,cold_start_s0,window_idx,query_start,query_end,n,window_hr@1_mean,window_hr@1_std,window_hr@3_mean,window_hr@3_std,window_acc@1_mean,window_acc@1_std,window_acc@3_mean,window_acc@3_std,window_malicious_rank_mean,window_malicious_rank_std,cumulative_hr@1_mean,cumulative_hr@1_std,cumulative_hr@3_mean,cumulative_hr@3_std,cumulative_acc@1_mean,cumulative_acc@1_std,cumulative_acc@3_mean,cumulative_acc@3_std,cumulative_malicious_rank_mean,cumulative_malicious_rank_std,mal_effective_trust_mean,mal_effective_trust_std,target_effective_trust_mean,target_effective_trust_std,mal_reputation_mean,mal_reputation_std,target_reputation_mean,target_reputation_std
ragroute_online,gaming,3,Full TASR,50,0.7,1,1,50,5,0.068,0.041472882706655445,0.972,0.010954451150103333,0.876,0.05366563145999495,0.964,0.016733200530681527,2.028,0.07155417527999333,0.068,0.041472882706655445,0.972,0.010954451150103333,0.876,0.05366563145999495,0.964,0.016733200530681527,2.028,0.07155417527999333,0.8762445350721031,0.0036137613448106,0.9398147208969543,0.001685574028294521,1.0,0.0,1.0,0.0
ragroute_online,gaming,3,Full TASR,50,0.7,2,51,100,5,0.0,0.0,0.824,0.021908902300206635,0.88,0.028284271247461926,0.94,0.014142135623730925,2.828,0.08438009243891585,0.034,0.020736441353327723,0.898,0.013038404810405309,0.878,0.03492849839314599,0.952,0.004472135954999583,2.428,0.05805170109479993,0.13993835150596481,0.0036875626093563715,0.9642086430405211,0.02646289653104965,0.2961087824145241,0.006396061802099861,1.0,0.0
ragroute_online,gaming,3,Full TASR,50,0.7,3,101,150,5,0.0,0.0,0.552,0.04147288270665543,0.88,0.014142135623730963,0.956,0.016733200530681527,3.988,0.280570846668003,0.02266666666666667,0.013824294235551815,0.7826666666666666,0.007601169500660915,0.8786666666666667,0.024675674031095687,0.9533333333333334,0.006666666666666654,2.948,0.09169999394159668,0.046549530120152144,0.003832964959320096,0.6997716869705036,0.07515845111364002,0.12537773704837335,0.009945922273931943,0.9508,0.0449132497154236
ragroute_online,gaming,3,Full TASR,50,0.7,4,151,200,5,0.0,0.0,0.424,0.045607017003965515,0.988,0.010954451150103333,1.0,0.0,4.332,0.14463747785411635,0.017,0.010368220676663861,0.693,0.01680773631397158,0.906,0.019811612756158968,0.965,0.0050000000000000044,3.294,0.09542012366372203,0.022008266500893846,0.002366594703270074,0.6947294908653495,0.05162910261657833,0.06434886990702061,0.0077637964044153795,0.9550872000000001,0.0
ragroute_online,gaming,3,Full TASR,50,0.7,5,201,250,5,0.0,0.0,0.368,0.0363318042491699,0.9,0.028284271247461926,0.98,0.0,5.048,0.18686893802876925,0.013600000000000001,0.008294576541331089,0.628,0.018761663039293736,0.9048,0.012457929201917961,0.968,0.0040000000000000036,3.6448,0.09961525987518173,0.01286347733124132,0.0021650234654075314,0.49802413980587984,0.07595087666149694,0.03901326824096087,0.0067740050668487015,1.0,0.0
ragroute_online,gaming,3,Full TASR,50,0.7,6,251,300,5,0.0,0.0,0.392,0.06723094525588644,0.82,0.058309518948453,0.988,0.010954451150103333,5.552,0.1603745615738355,0.011333333333333334,0.0069121471177759075,0.5886666666666667,0.026729093595639287,0.8906666666666666,0.009249624617007736,0.9713333333333334,0.0038005847503304745,3.962666666666667,0.0962462120466741,0.0068069187011116665,0.0011123361253030377,0.4313642002566733,0.05005403659357528,0.021424370095338634,0.003630287907463211,1.0,0.0
ragroute_online,gaming,3,Full TASR,50,0.7,7,301,350,5,0.0,0.0,0.28800000000000003,0.010954451150103302,0.808,0.01095445115010327,0.956,0.021908902300206666,6.488,0.15401298646542752,0.009714285714285715,0.005924697529522206,0.5457142857142857,0.024159335036125374,0.8788571428571429,0.007719574906346459,0.9691428571428571,0.002390457218668776,4.323428571428572,0.08711709220986452,0.004438891384945815,0.0005105042073990468,0.3522841004455479,0.019417985277503685,0.014174096228611668,0.0017323390319677525,0.99101744,0.02008561477197045
ragroute_online,gaming,3,Full TASR,50,0.7,8,351,400,5,0.0,0.0,0.152,0.01788854381999831,0.756,0.026076809620810618,0.96,0.014142135623730963,7.8,0.39115214431215883,0.0085,0.005184110338331931,0.4965,0.022885584982691613,0.8635,0.008023403267940609,0.968,0.003708099243547827,4.758,0.11079824005822485,0.0036825676605587534,0.0003968039413948116,0.32716299400270055,0.022921962750030094,0.011670898523682862,0.0011155384620460107,0.9949541920783014,0.006909257048881487
ragroute_online,gaming,3,Full TASR,50,0.7,9,401,450,5,0.0,0.0,0.252,0.06099180272790762,0.92,0.014142135623730925,0.98,0.0,6.636,0.3395290856465762,0.007555555555555556,0.004608098078517271,0.4693333333333333,0.02649947588580237,0.8697777777777778,0.007131914015947198,0.9693333333333334,0.0032960882164869824,4.966666666666667,0.13098864336788127,0.0031846528234447803,7.272734262891527e-05,0.3164991405903502,0.01492296822059014,0.010241028160703899,7.037492511624498e-05,1.0,0.0
ragroute_online,gaming,3,Full TASR,50,0.7,10,451,500,5,0.0,0.0,0.304,0.045607017003965515,0.884,0.029664793948382676,1.0,0.0,5.712,0.2651791847034755,0.0068000000000000005,0.0041472882706655445,0.4528,0.028340783334269364,0.8712,0.0048166378315169225,0.9723999999999999,0.0029664793948382677,5.0412,0.1383806344832976,0.0031066947613702716,3.860020746162094e-05,0.30676188650529645,0.007608277221981918,0.010148544,5.762919198539008e-05,1.0,0.0
ragroute_online,gaming,3,No Defense,50,0.7,1,1,50,5,0.044,0.01673320053068151,0.976,0.008944271909999166,0.828,0.017888543819998333,0.96,0.014142135623730963,2.152,0.04147288270665548,0.044,0.01673320053068151,0.976,0.008944271909999166,0.828,0.017888543819998333,0.96,0.014142135623730963,2.152,0.04147288270665548,0.7,0.0,0.7,0.0,1.0,0.0,1.0,0.0
ragroute_online,gaming,3,No Defense,50,0.7,2,51,100,5,0.04,0.01414213562373095,0.956,0.021908902300206666,0.84,0.014142135623730963,0.864,0.008944271909999166,2.244,0.08414273587185037,0.042,0.004472135954999581,0.966,0.01341640786499875,0.834,0.01140175425099139,0.912,0.004472135954999583,2.198,0.02280350850198278,0.7,0.0,0.7,0.0,1.0,0.0,1.0,0.0
ragroute_online,gaming,3,No Defense,50,0.7,3,101,150,5,0.088,0.041472882706655445,0.952,0.041472882706655424,0.8079999999999999,0.026832815729997444,0.88,0.0,2.112,0.15786069808536893,0.05733333333333333,0.015347819244295118,0.9613333333333334,0.007302967433402231,0.8253333333333334,0.00869226987360355,0.9013333333333333,0.002981423969999689,2.1693333333333333,0.0443721634461167,0.7,0.0,0.7,0.0,1.0,0.0,1.0,0.0
ragroute_online,gaming,3,No Defense,50,0.7,4,151,200,5,0.024,0.026076809620810593,0.992,0.010954451150103333,0.88,0.014142135623730963,1.0,0.0,2.112,0.08318653737234176,0.049,0.015572411502397436,0.969,0.007416198487095669,0.839,0.006519202405202654,0.926,0.0022360679774997916,2.155,0.052915026221291794,0.7,0.0,0.7,0.0,1.0,0.0,1.0,0.0
ragroute_online,gaming,3,No Defense,50,0.7,5,201,250,5,0.032,0.022803508501982758,0.948,0.036331804249169895,0.8119999999999999,0.01095445115010327,0.904,0.016733200530681527,2.184,0.12759310326189258,0.0456,0.016637307474468337,0.9648,0.012457929201917961,0.8336,0.00669328021227261,0.9216000000000001,0.004560701700396556,2.1608,0.06383729317569792,0.7,0.0,0.7,0.0,1.0,0.0,1.0,0.0
