experiment,target_domain,num_malicious,mode,warmup_queries,cold_start_s0,n,final_hr@1_mean,final_hr@1_std,final_hr@3_mean,final_hr@3_std,final_acc@1_mean,final_acc@1_std,final_acc@3_mean,final_acc@3_std,early_hr@1_mean,early_hr@1_std,early_acc@1_mean,early_acc@1_std,late_hr@1_mean,late_hr@1_std,late_acc@1_mean,late_acc@1_std,final_mal_reputation_mean,final_mal_reputation_std,final_honest_target_reputation_mean,final_honest_target_reputation_std,final_mal_effective_trust_mean,final_mal_effective_trust_std,final_honest_target_effective_trust_mean,final_honest_target_effective_trust_std
online,physics,1,No Defense,50,0.7,5,0.518,0.024899799195977488,0.8548,0.014872793954062578,0.3432,0.02278596058980178,0.8864,0.005176871642217918,0.514,0.08264381404557754,0.366,0.08264381404557752,0.53,0.05744562646538028,0.356,0.05899152481501051,1.0,0.0,1.0,0.0,0.7,0.0,0.7,0.0
online,physics,1,Rel,50,0.7,5,0.056799999999999996,0.011099549540409285,0.15,0.0020000000000000018,0.9431999999999999,0.011099549540409257,1.0,0.0,0.284,0.05549774770204642,0.716,0.05549774770204644,0.0,0.0,1.0,0.0,0.0660466148676505,0.0032105374027785794,1.0,0.0,0.06446191326057997,0.0031081489385603365,0.9999999826667545,0.0
online,physics,3,Full TASR,50,0.7,5,0.0928,0.023773935307390737,0.2416,0.012116104984688769,0.9036000000000001,0.028754130138121052,0.9576,0.05461501625011201,0.46399999999999997,0.11886967653695367,0.528,0.13103434664239755,0.0,0.0,1.0,0.0,0.0792915179825281,0.013322670141782162,1.0,0.0,0.03407924411989869,0.001579432709111705,0.4086752572738084,0.1167699345043723
online,physics,3,No Defense,50,0.7,5,0.756,0.017720045146669364,0.9408,0.009444575162494027,0.1448,0.018686893802876928,0.5984,0.03314815228636431,0.774,0.032863353450309954,0.14400000000000002,0.016733200530681513,0.754,0.015165750888103114,0.162,0.013038404810405298,1.0,0.0,1.0,0.0,0.7,0.0,0.7,0.0
online,physics,3,Rel,50,0.7,5,0.0948,0.025635912310662944,0.24159999999999998,0.0038470768123342724,0.9052,0.025635912310662968,0.9572,0.055038168574181305,0.474,0.12817956155331472,0.526,0.12817956155331472,0.0,0.0,1.0,0.0,0.07117314767018319,0.00397604880367201,1.0,0.0,0.06814339340256269,0.003470160913071656,0.9999999202566271,2.897799007358311e-08
warmup_sweep,gaming,1,Full TASR,0,0.7,5,0.002,0.001414213562373095,0.0368,0.0030331501776206214,0.9668,0.02751726730618429,0.9912,0.008074651695274547,0.006,0.005477225575051661,0.914,0.04827007354458869,0.0,0.0,1.0,0.0,0.15686423689252785,0.014013323152448997,0.2765734343384513,0.054317706655591616,0.058926332687359397,0.0024999714202524545,0.09363590367259668,0.018519052886773902
warmup_sweep,gaming,1,Full TASR,25,0.7,5,0.0028,0.00303315017762062,0.0432,0.02105231578710523,0.9728,0.0075630681604756216,0.9924,0.0038470768123342724,0.014,0.015165750888103102,0.92,0.046904157598234276,0.0,0.0,0.988,0.017888543819998333,0.1830932188200728,0.009682685671242725,0.2660361176683838,0.01886116372003235,0.06894013628488573,0.0037013856601817224,0.0880909753179329,0.006802281016635211
warmup_sweep,gaming,1,Full TASR,100,0.7,5,0.008,0.01568438714135812,0.068,0.08721238444166059,0.97,0.02622975409720798,0.9952,0.004604345773288539,0.04,0.07842193570679061,0.95,0.07842193570679058,0.0,0.0,0.998,0.004472135954999583,0.21771385843537294,0.014773718501826847,0.3337246259801805,0.02193866678299413,0.08887736009863971,0.00701206293080808,0.11492992079918052,0.008438785326413888
warmup_sweep,gaming,3,Full TASR,0,0.7,5,0.0024000000000000002,0.0008944271909999159,0.1072,0.003346640106136305,0.9776,0.007536577472566716,0.9932,0.003033150177620623,0.012,0.00447213595499958,0.924,0.034351128074635306,0.0,0.0,1.0,0.0,0.16025595764446343,0.00844173385105379,0.28907999654709415,0.041972702406810544,0.05898097186313516,0.003147669880364074,0.1226021333859773,0.054008548068827815
warmup_sweep,gaming,3,Full TASR,25,0.7,5,0.006,0.00447213595499958,0.11,0.022934689882359426,0.9728,0.01937008002048522,0.9952,0.0052153619241621235,0.03,0.022360679774997897,0.942,0.04438468204234429,0.0,0.0,0.996,0.0054772255750516665,0.17641867963092583,0.007651084617814978,0.2426332646606901,0.021216315743355696,0.06693546257532947,0.002035134048264937,0.08802445377646172,0.00968627924901171
warmup_sweep,gaming,3,Full TASR,100,0.7,5,0.0132,0.025163465580082568,0.1244,0.0892345224674845,0.976,0.029698484809834974,0.9972,0.003033150177620623,0.06599999999999999,0.1258173279004128,0.9259999999999999,0.12660963628413124,0.0,0.0,0.986,0.02073644135332774,0.22401097516384208,0.010245848925815473,0.312941379027729,0.016223542036595814,0.08986773410939884,0.005723345916833218,0.11564237057279225,0.014743834725481358
warmup_sweep,gis,1,Full TASR,0,0.7,5,0.0016,0.0008944271909999159,0.0432,0.005403702434442517,0.99,0.00509901951359279,0.9964,0.0026076809620810618,0.008,0.00447213595499958,0.95,0.025495097567963903,0.0,0.0,1.0,0.0,0.10354233946400446,0.01536352241152112,0.5038040416253022,0.052140259656683674,0.038896402828249785,0.004933110152560618,0.2738818918441131,0.044035065431911435
warmup_sweep,gis,1,Full TASR,25,0.7,5,0.0204,0.008988882021697692,0.0912,0.008555699854482974,0.97,0.0058309518948453055,0.9952,0.001095445115010333,0.10200000000000001,0.04494441010848847,0.85,0.02915475947422653,0.0,0.0,1.0,0.0,0.11162453057744334,0.02106426198746466,0.5129412006926798,0.07823506432085656,0.04477159634840441,0.0021686186354805625,0.28197869951439264,0.03591457307246263
warmup_sweep,gis,1,Full TASR,100,0.7,5,0.0872,0.016161683080669537,0.23600000000000002,0.005291502622129173,0.9116000000000001,0.015323185047502377,0.9988,0.001095445115010333,0.43,0.0818535277187245,0.5640000000000001,0.0776530746332687,0.0,0.0,1.0,0.0,0.14136192062297528,0.014621015051911865,0.5605841376147112,0.03699638984238764,0.06701175502350305,0.004861744753302744,0.298375603924943,0.025371644774719482
warmup_sweep,gis,3,Full TASR,0,0.7,5,0.0044,0.0016733200530681513,0.1268,0.010059821071967437,0.9908,0.006418722614352491,0.9964,0.0026076809620810618,0.022,0.008366600265340755,0.954,0.032093613071762395,0.0,0.0,1.0,0.0,0.10567978051305227,0.01003524415674143,0.49556731786707797,0.03530342491272037,0.03913170697115913,0.002372614435472134,0.275863802003995,0.03857571456463764
warmup_sweep,gis,3,Full TASR,25,0.7,5,0.0388,0.006418722614352486,0.1736,0.015709869509324386,0.954,0.00509901951359279,0.9956,0.0016733200530681526,0.194,0.03209361307176242,0.77,0.025495097567963948,0.0,0.0,1.0,0.0,0.11875537450090812,0.013415860260817512,0.3909550272899688,0.07956283652211048,0.04762286333140382,0.0034995779131514367,0.2265865214491832,0.052079253396999835
warmup_sweep,gis,3,Full TASR,100,0.7,5,0.1304,0.011949895397031726,0.312,0.016552945357246864,0.8692,0.01188276062201037,0.9972,0.0017888543819998333,0.646,0.05412947441089744,0.352,0.05403702434442517,0.0,0.0,1.0,0.0,0.15095789261004164,0.01989915869780493,0.5652789861959476,0.04873608097902,0.06637505833628862,0.008257432327254973,0.28849508002213803,0.015858404130699392
warmup_sweep,physics,1,Full TASR,0,0.7,5,0.0008,0.0010954451150103322,0.0512,0.005403702434442519,0.9956,0.00669328021227261,0.9988,0.00268328157299975,0.004,0.005477225575051661,0.978,0.033466401061363005,0.0,0.0,1.0,0.0,0.06687763939750159,0.01901050414736727,1.0,0.0,0.025238011684262252,0.0014060493139958902,0.39131679291877197,0.0424222016796895
warmup_sweep,physics,1,Full TASR,25,0.7,5,0.0268,0.008786353054595518,0.1,0.005099019513592783,0.972,0.009273618495495711,0.9996,0.0008944271909999167,0.134,0.04393176527297759,0.86,0.04636809247747853,0.0,0.0,1.0,0.0,0.07521702242047124,0.01520097553079376,1.0,0.0,0.029492883526730962,0.0006992560689078403,0.34975479252010794,0.016866880692530523
warmup_sweep,physics,1,Full TASR,100,0.7,5,0.1124,0.018460769214742927,0.2448,0.0068702256149270734,0.8848,0.01752712184016533,0.9988,0.00268328157299975,0.56,0.09110433579144296,0.44,0.091104335791443,0.0,0.0,1.0,0.0,0.09263503774978023,0.029050008793005025,1.0,0.0,0.042317710002727674,0.0024918505780615946,0.44301049559691347,0.09884864265152031
warmup_sweep,physics,3,Full TASR,0,0.7,5,0.0044,0.0016733200530681513,0.1524,0.011081516141756058,0.9944,0.002190890230020666,0.9996,0.0008944271909999167,0.022,0.008366600265340755,0.972,0.010954451150103333,0.0,0.0,1.0,0.0,0.06427130204730537,0.010700290590538813,1.0,0.0,0.024763737355667885,0.0017033103137688746,0.3924645073510737,0.05625683026895523
warmup_sweep,physics,3,Full TASR,25,0.7,5,0.0492,0.014042791745233568,0.1984,0.013520355024924456,0.9496,0.013740451229854107,0.9783999999999999,0.02515551629364822,0.246,0.07021395872616784,0.748,0.0687022561492707,0.0,0.0,1.0,0.0,0.06973567374848526,0.01094355263090388,0.9918,0.01833575741549824,0.02842650363950882,0.0009686871954027387,0.409705408244433,0.09358291374722141
warmup_sweep,physics,3,Full TASR,100,0.7,5,0.1772,0.03662239751845856,0.32680000000000003,0.011454256850621092,0.8152,0.044913249715423605,0.9168000000000001,0.11037753394599824,0.856,0.15323185047502363,0.144,0.15323185047502363,0.0,0.0,1.0,0.0,0.10169113444625137,0.01913477310548395,1.0,0.0,0.04655034688254315,0.0027476034110865675,0.4177921774647641,0.10257353879832966
