experiment,target_domain,num_malicious,mode,warmup_queries,cold_start_s0,window_idx,query_start,query_end,n,window_hr@1_mean,window_hr@1_std,window_hr@3_mean,window_hr@3_std,window_acc@1_mean,window_acc@1_std,window_acc@3_mean,window_acc@3_std,cumulative_hr@1_mean,cumulative_hr@1_std,cumulative_acc@1_mean,cumulative_acc@1_std,mal_effective_trust_mean,mal_effective_trust_std,honest_target_effective_trust_mean,honest_target_effective_trust_std,mal_reputation_mean,mal_reputation_std,honest_target_reputation_mean,honest_target_reputation_std
cold_start_sweep,gaming,3,Full TASR,50,0.9,1,1,50,5,0.18,0.10295630140987,0.384,0.25744902408049636,0.744,0.10237187113655782,0.956,0.021908902300206666,0.18,0.10295630140987,0.744,0.10237187113655782,0.9199108957121859,0.00961096985113074,0.9430929318078586,0.004310529390509855,1.0,0.0,1.0,0.0
cold_start_sweep,gaming,3,Full TASR,50,0.9,2,51,100,5,0.028,0.01788854381999832,0.184,0.016733200530681516,0.8039999999999999,0.04335896677735758,0.908,0.02280350850198274,0.104,0.058566201857385286,0.774,0.06348228099241551,0.5741697227746515,0.01265022090196867,0.6278405203837792,0.016807044188626063,0.7508354400000001,0.020114550454036966,0.827627267045163,0.01746569943051516
cold_start_sweep,gaming,3,Full TASR,50,0.9,3,101,150,5,0.0,0.0,0.128,0.010954451150103333,0.836,0.09208691546577069,0.964,0.029664793948382638,0.06933333333333333,0.03904413457159019,0.7946666666666666,0.029589788028229515,0.4179563920885856,0.009366633293911044,0.4854322248906293,0.026166048763653926,0.6101887464000001,0.016800297021135172,0.7545245907134819,0.032445543149577254
cold_start_sweep,gaming,3,Full TASR,50,0.9,4,151,200,5,0.0,0.0,0.108,0.02683281572999748,1.0,0.0,1.0,0.0,0.052,0.029283100928692643,0.846,0.022192341021172166,0.312791773051199,0.011174348496465324,0.4340474958387594,0.03903745153113737,0.5020602488856001,0.013065093659496803,0.7196529325391235,0.04257475067283939
cold_start_sweep,gaming,3,Full TASR,50,0.9,5,201,250,5,0.0,0.0,0.108,0.022803508501982764,1.0,0.0,1.0,0.0,0.0416,0.023426480742954114,0.8768,0.017753872816937733,0.23666831423034188,0.008583189407253375,0.32008246690660525,0.017483881110448057,0.41566946918904013,0.011050970670071176,0.6275544086963871,0.0424696953273661
cold_start_sweep,gaming,3,Full TASR,50,0.9,6,251,300,5,0.0,0.0,0.096,0.03286335345030997,1.0,0.0,1.0,0.0,0.034666666666666665,0.019522067285795097,0.8973333333333333,0.014794894014114778,0.18507358728171985,0.008709723433855555,0.24922397458662063,0.015119100460286451,0.3491775410019625,0.009774115684971831,0.549442299516,0.03514600719634027
cold_start_sweep,gaming,3,Full TASR,50,0.9,7,301,350,5,0.0,0.0,0.1,0.02828427124746191,0.992,0.017888543819998333,1.0,0.0,0.029714285714285714,0.01673320053068151,0.9108571428571428,0.010575288870469574,0.1412355445841137,0.011909604037650625,0.18196826748955078,0.01005327718353638,0.28745728432731565,0.01727147363047686,0.4646963410839218,0.03516362257560236
cold_start_sweep,gaming,3,Full TASR,50,0.9,8,351,400,5,0.0,0.0,0.08,0.020000000000000004,0.992,0.017888543819998333,0.996,0.008944271909999166,0.026,0.014641550464346322,0.921,0.007623975340988464,0.1141375183706747,0.007928289093382657,0.14556282238046445,0.009083621396888219,0.24632532614267336,0.015699397606379645,0.4121573510671117,0.04805401476483536
cold_start_sweep,gaming,3,Full TASR,50,0.9,9,401,450,5,0.0,0.0,0.116,0.02190890230020665,1.0,0.0,1.0,0.0,0.02311111111111111,0.013014711523863397,0.9297777777777778,0.0067768669697675175,0.08731450115369935,0.009724373185243074,0.13427568702337564,0.004197520748401762,0.2000618813580055,0.01986115415898412,0.3975384003194777,0.03198072677767742
cold_start_sweep,gaming,3,Full TASR,50,0.9,10,451,500,5,0.0,0.0,0.064,0.026076809620810597,0.988,0.017888543819998333,1.0,0.0,0.0208,0.011713240371477057,0.9356,0.007536577472566668,0.07485078516564284,0.005465803682699622,0.09129304694967827,0.007045905136754021,0.17730306604685422,0.011790424559696908,0.2662857397960102,0.019201175066603335
cold_start_sweep,gaming,3,Full TASR,50,1.0,1,1,50,5,0.5,0.056568542494923824,0.576,0.051768716422179124,0.392,0.06572670690061994,0.924,0.008944271909999116,0.5,0.056568542494923824,0.392,0.06572670690061994,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
cold_start_sweep,gaming,3,Full TASR,50,1.0,2,51,100,5,0.056,0.008944271909999158,0.196,0.026076809620810597,0.752,0.05761944116355171,0.904,0.03286335345030997,0.278,0.027748873851023214,0.572,0.044384682042344276,0.6089978742647876,0.016419661579340453,0.6811673214373714,0.02335475028843594,0.74327544,0.013908124099532609,0.8462363438194153,0.012752839749648347
cold_start_sweep,gaming,3,Full TASR,50,1.0,3,101,150,5,0.0,0.0,0.112,0.0363318042491699,0.76,0.07999999999999996,0.908,0.05403702434442519,0.18533333333333332,0.018499249234015483,0.6346666666666667,0.012823589374447556,0.4493231316532933,0.013788060889041281,0.49842273027497047,0.012886529069416654,0.6140693592,0.00640667710009635,0.7521706817065725,0.03820850345491645
cold_start_sweep,gaming,3,Full TASR,50,1.0,4,151,200,5,0.0,0.0,0.124,0.021908902300206645,1.0,0.0,1.0,0.0,0.139,0.013874436925511607,0.726,0.00961769203083568,0.3291719110199779,0.01148078802212244,0.4393998547257926,0.03222190534958176,0.4990330192320001,0.012713056715542417,0.7319126587753855,0.03104299322692778
